,group,round,id_in_group,split,high,guess,win,turker
0,1,1,1,0,0,45.0,0,AQJWO4YPR3LUQ
1,1,1,2,0,0,50.0,0,A10VYQMVSHNFCV
2,1,1,3,0,0,50.0,0,AWXIEV9H6KT9E
3,1,1,4,0,0,25.0,1,A2OEK75DGI4PW2
4,1,2,1,0,0,65.0,0,AQJWO4YPR3LUQ
5,1,2,2,0,0,3.0,0,A10VYQMVSHNFCV
6,1,2,3,0,0,34.0,1,AWXIEV9H6KT9E
7,1,2,4,0,0,90.0,0,A2OEK75DGI4PW2
8,1,3,1,0,0,15.0,1,AQJWO4YPR3LUQ
9,1,3,2,0,0,75.0,0,A10VYQMVSHNFCV
10,1,3,3,0,0,52.0,0,AWXIEV9H6KT9E
11,1,3,4,0,0,50.0,0,A2OEK75DGI4PW2
12,1,4,1,0,0,32.0,1,AQJWO4YPR3LUQ
13,1,4,2,0,0,32.0,1,A10VYQMVSHNFCV
14,1,4,3,0,0,63.0,0,AWXIEV9H6KT9E
15,1,4,4,0,0,35.0,0,A2OEK75DGI4PW2
16,1,5,1,0,0,35.0,0,AQJWO4YPR3LUQ
17,1,5,2,0,0,20.0,1,A10VYQMVSHNFCV
18,1,5,3,0,0,24.0,0,AWXIEV9H6KT9E
19,1,5,4,0,0,28.0,0,A2OEK75DGI4PW2
20,1,6,1,0,0,40.0,0,AQJWO4YPR3LUQ
21,1,6,2,0,0,28.0,0,A10VYQMVSHNFCV
22,1,6,3,0,0,20.0,0,AWXIEV9H6KT9E
23,1,6,4,0,0,15.0,1,A2OEK75DGI4PW2
24,1,7,1,0,0,20.0,0,AQJWO4YPR3LUQ
25,1,7,2,0,0,19.0,1,A10VYQMVSHNFCV
26,1,7,3,0,0,20.0,0,AWXIEV9H6KT9E
27,1,7,4,0,0,28.0,0,A2OEK75DGI4PW2
28,1,8,1,0,0,28.0,0,AQJWO4YPR3LUQ
29,1,8,2,0,0,12.0,0,A10VYQMVSHNFCV
30,1,8,3,0,0,18.0,1,AWXIEV9H6KT9E
31,1,8,4,0,0,39.0,0,A2OEK75DGI4PW2
32,2,1,1,1,0,56.0,0,AGYU1N4MKSK04
33,2,1,2,1,0,40.0,1,A2RERBGRTEWXK4
34,2,1,3,1,0,75.0,0,A25OJ3H62OYX6B
35,2,1,4,1,0,45.0,0,A21M2USASL1O05
36,2,2,1,1,0,26.0,1,AGYU1N4MKSK04
37,2,2,2,1,0,25.0,0,A2RERBGRTEWXK4
38,2,2,3,1,0,66.0,0,A25OJ3H62OYX6B
39,2,2,4,1,0,50.0,0,A21M2USASL1O05
40,2,3,1,1,0,25.0,0,AGYU1N4MKSK04
41,2,3,2,1,0,24.0,1,A2RERBGRTEWXK4
