,name,group,round,id_in_group,split,high,guess,twothirds,best,win,payoff,id,strategy
66,GoR_2,9,2,1,0,0,93.0,47.0,48.0,0,1.03,bo8oo807,
67,GoR_2,9,2,2,0,0,48.0,47.0,48.0,1,2.02,62mwz3mu,
68,GoR_2,9,3,1,0,0,60.0,38.0,54.0,0,1.03,bo8oo807,
69,GoR_2,9,3,2,0,0,54.0,38.0,54.0,1,2.02,62mwz3mu,
70,GoR_2,9,4,1,0,0,25.0,20.67,25.0,1,1.03,bo8oo807,
71,GoR_2,9,4,2,0,0,37.0,20.67,25.0,0,2.02,62mwz3mu,
72,GoR_2,9,5,1,0,0,50.0,32.67,48.0,0,1.03,bo8oo807,
73,GoR_2,9,5,2,0,0,48.0,32.67,48.0,1,2.02,62mwz3mu,
74,GoR_2,9,6,1,0,0,25.0,23.67,25.0,1,1.03,bo8oo807,
75,GoR_2,9,6,2,0,0,46.0,23.67,25.0,0,2.02,62mwz3mu,
76,GoR_2,9,7,1,0,0,26.0,23.67,26.0,1,1.03,bo8oo807,
77,GoR_2,9,7,2,0,0,45.0,23.67,26.0,0,2.02,62mwz3mu,
78,GoR_2,9,8,1,0,0,27.0,19.67,27.0,1,1.03,bo8oo807,i gussed
79,GoR_2,9,8,2,0,0,32.0,19.67,27.0,0,2.02,62mwz3mu,Random choosing
80,GoR_2,10,1,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,
81,GoR_2,10,1,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,
82,GoR_2,10,2,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,
83,GoR_2,10,2,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,
84,GoR_2,10,3,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,
85,GoR_2,10,3,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,
86,GoR_2,10,4,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,
87,GoR_2,10,4,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,
88,GoR_2,10,5,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,
89,GoR_2,10,5,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,
90,GoR_2,10,6,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,
91,GoR_2,10,6,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,
92,GoR_2,10,7,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,
93,GoR_2,10,7,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,
94,GoR_2,10,8,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,i was just listening to my mind and reading others mind
95,GoR_2,10,8,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,"I planned to use a tit for two tats strategy, and the other player never defected from the optimal strategy, so I chose the optimal strategy as well."
96,GoR_2,11,1,1,0,1,75.0,43.33,55.0,0,0.68,cw27jhu7,
97,GoR_2,11,1,2,0,1,55.0,43.33,55.0,1,2.06,76sgicoq,
98,GoR_2,11,2,1,0,1,30.0,32.33,30.0,1,0.68,cw27jhu7,
99,GoR_2,11,2,2,0,1,67.0,32.33,30.0,0,2.06,76sgicoq,
100,GoR_2,11,3,1,0,1,62.0,29.0,25.0,0,0.68,cw27jhu7,
101,GoR_2,11,3,2,0,1,25.0,29.0,25.0,1,2.06,76sgicoq,
102,GoR_2,11,4,1,0,1,45.0,25.67,32.0,0,0.68,cw27jhu7,
103,GoR_2,11,4,2,0,1,32.0,25.67,32.0,1,2.06,76sgicoq,
104,GoR_2,11,5,1,0,1,20.0,22.33,20.0,1,0.68,cw27jhu7,
105,GoR_2,11,5,2,0,1,47.0,22.33,20.0,0,2.06,76sgicoq,
106,GoR_2,11,6,1,0,1,18.0,35.67,18.0,1,0.68,cw27jhu7,
107,GoR_2,11,6,2,0,1,89.0,35.67,18.0,0,2.06,76sgicoq,
108,GoR_2,11,7,1,0,1,60.0,35.0,45.0,0,0.68,cw27jhu7,
109,GoR_2,11,7,2,0,1,45.0,35.0,45.0,1,2.06,76sgicoq,
110,GoR_2,11,8,1,0,1,52.0,33.67,49.0,0,0.68,cw27jhu7,I just guessed.
111,GoR_2,11,8,2,0,1,49.0,33.67,49.0,1,2.06,76sgicoq,Random!!
112,GoR_2,12,1,1,1,1,50.0,25.0,25.0,0,1.38,p1e9qtlq,
113,GoR_2,12,1,2,1,1,25.0,25.0,25.0,1,0.63,r5pm31lo,
114,GoR_2,12,2,1,1,1,10.0,16.67,10.0,1,1.38,p1e9qtlq,
115,GoR_2,12,2,2,1,1,40.0,16.67,10.0,0,0.63,r5pm31lo,
116,GoR_2,12,3,1,1,1,99.0,36.33,10.0,0,1.38,p1e9qtlq,
117,GoR_2,12,3,2,1,1,10.0,36.33,10.0,1,0.63,r5pm31lo,
118,GoR_2,12,4,1,1,1,10.0,22.0,10.0,1,1.38,p1e9qtlq,
119,GoR_2,12,4,2,1,1,56.0,22.0,10.0,0,0.63,r5pm31lo,
120,GoR_2,12,5,1,1,1,10.0,28.33,10.0,1,1.38,p1e9qtlq,
121,GoR_2,12,5,2,1,1,75.0,28.33,10.0,0,0.63,r5pm31lo,
122,GoR_2,12,6,1,1,1,20.0,13.33,20.0,1,1.38,p1e9qtlq,
123,GoR_2,12,6,2,1,1,20.0,13.33,20.0,1,0.63,r5pm31lo,
124,GoR_2,12,7,1,1,1,15.0,16.67,15.0,1,1.38,p1e9qtlq,
125,GoR_2,12,7,2,1,1,35.0,16.67,15.0,0,0.63,r5pm31lo,
