participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.arrival_time,player.choice,player.strategy_canteen_dilemma,player.certainty,player.payoff,group.id_in_subsession,group.payoff,group.game_lost,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,2,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,9.03,,,,0.00,2,,0,3,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,9.03,,,,0.00,2,,0,3,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,3,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,3,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,3,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,3,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,8.46,,,,0.00,2,,0,4,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,8.46,,,,0.00,2,,0,4,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,4,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,4,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,4,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,4,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,9.05,,,,0.00,2,,0,5,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,9.05,,,,0.00,2,,0,5,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,5,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,5,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,5,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,5,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,8.58,,,,0.00,2,,0,6,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,8.53,,,,0.00,2,,0,6,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,6,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,6,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,6,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,6,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,9.04,,,,0.00,2,,0,7,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,9.09,,,,0.00,2,,0,7,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,7,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,7,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,7,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,7,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,8.46,,,,0.00,2,,0,8,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,8.41,,,,0.00,2,,0,8,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,8,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,8,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,8,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,8,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,8.45,,,,0.00,2,,0,9,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,8.5,,,,0.00,2,,0,9,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,9,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,9,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,9,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,9,pb57w6c4,,,,,,0
1,cyg9epry,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:54.754481+00:00,1,,,0.00,1,8.46,,,,0.00,2,,0,10,pb57w6c4,,,,,,0
2,x2ilsq7b,,0,6,90,canteen_dilemma,1,GameLost,172.16.176.137,2018-03-21 12:13:56.050650+00:00,1,,,0.00,2,8.46,,,,0.00,2,,0,10,pb57w6c4,,,,,,0
3,13xvft7g,,0,0,90,,,,,,0,,,0.00,3,,,,,0.00,1,,0,10,pb57w6c4,,,,,,0
4,iy8s809z,,0,0,90,,,,,,0,,,0.00,4,,,,,0.00,1,,0,10,pb57w6c4,,,,,,0
5,7y8gukcq,,0,0,90,,,,,,0,,,0.00,5,,,,,0.00,1,,0,10,pb57w6c4,,,,,,0
6,0d87nc35,,0,0,90,,,,,,0,,,0.00,6,,,,,0.00,1,,0,10,pb57w6c4,,,,,,0
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,1,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,1,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,2,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,2,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,3,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,3,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,4,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,4,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,5,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,5,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,6,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,6,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,7,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,7,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,8,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,8,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,9,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,9,464kxcog,,,,,,1
1,9nwr0ixq,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,10,464kxcog,,,,,,1
2,oh8mpbk9,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,10,464kxcog,,,,,,1
1,orlhdtrb,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:52:49.025887+00:00,1,,,0.00,1,8.46,Canteen,,6,0.60,2,,0,1,d6g3sm3d,,,,,,0
2,81lku6wv,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:53:02.172611+00:00,1,,,0.00,2,8.46,Canteen,,6,0.60,2,,0,1,d6g3sm3d,,,,,,0
1,orlhdtrb,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:52:49.025887+00:00,1,,,0.00,1,8.58,Office,,6,0.40,2,,0,2,d6g3sm3d,,,,,,0
