,session,code,turker,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,cutoff,newcutoff,changingstrategy,fault,cok840,cok900,simple,payoff
120,skcucks5,luykbvrv,,2,1,1,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
121,skcucks5,4vnbdkgv,,2,2,1,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
122,skcucks5,luykbvrv,,2,1,2,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
123,skcucks5,4vnbdkgv,,2,2,2,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
124,skcucks5,luykbvrv,,2,1,3,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
125,skcucks5,4vnbdkgv,,2,2,3,8.4,1.0,0.875,-0.13,,,,,,,,,0.0
126,skcucks5,luykbvrv,,2,1,4,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
127,skcucks5,4vnbdkgv,,2,2,4,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
128,skcucks5,luykbvrv,,2,1,5,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
129,skcucks5,4vnbdkgv,,2,2,5,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
130,skcucks5,luykbvrv,,2,1,6,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
131,skcucks5,4vnbdkgv,,2,2,6,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
132,skcucks5,luykbvrv,,2,1,7,8.5,1.0,0.5,-0.69,,,,,,,,,0.0
133,skcucks5,4vnbdkgv,,2,2,7,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
134,skcucks5,luykbvrv,,2,1,8,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
135,skcucks5,4vnbdkgv,,2,2,8,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
136,skcucks5,luykbvrv,,2,1,9,9.0,0.0,0.5,-1.39,,,,,,,,,0.0
137,skcucks5,4vnbdkgv,,2,2,9,9.1,0.0,0.99,-0.02,,,,,,,,,0.0
138,skcucks5,luykbvrv,,2,1,10,9.0,0.0,0.75,-0.58,,,,,,,,,0.0
139,skcucks5,4vnbdkgv,,2,2,10,9.1,0.0,0.99,-0.02,,,,,,,,,0.0
140,skcucks5,luykbvrv,,2,1,11,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
141,skcucks5,4vnbdkgv,,2,2,11,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
142,skcucks5,luykbvrv,,2,1,12,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
