participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.room_busy,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
36,h8le9vsv,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:11:51.996672+00:00,1,APQMFEY1KUL6A,317HQ483I8BT3I99SDJ8AFJ64IVNIF,0.00,36,16,"[31, 32, 33]",1000.0,2204.623,1000.0,0.1889699918897,0,,2018-06-20 09:11:59.069316+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
37,l5gcl73b,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:11:55.946198+00:00,1,AHFEDGGIOG8DK,39ZSFO5CA9F2TJDO7WGU0BQ0PTDUJQ,0.19,37,17,"[33, 36, 35]",0.0,,,,0,,2018-06-20 09:12:07.178924+00:00,57,0.19,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
38,qu8jke3m,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:13:02.619871+00:00,1,A144E4UEZ4AGM3,3ZSANO2JCGQ694ZOZ1U96CGKBPBSF5,0.12,38,0,,,,,,,1,2018-06-20 09:13:07.918797+00:00,35,0.12,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
39,tixdc0jd,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:13:55.429812+00:00,1,A2C8ORKQRSP0GX,378XPAWRUDWMJZFKJ9E3O9Z65BWIAQ,0.00,39,19,"[36, 35, 40]",500.0,1102.3115,500.0,0.59448499594485,0,,2018-06-20 09:15:57.421251+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
40,6z1jbqcm,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:14:27.785958+00:00,1,A23C0K84LJ5ZV3,38SKSKU7R2G3FI6OG03TXNFHZNVLIB,1.00,40,18,"[33, 36, 35]",1200.0,2645.5476,1200.0,0.0267639902676399,0,,2018-06-20 09:14:41.174248+00:00,0,0.0,1.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
41,lw57wsaj,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:16:09.680985+00:00,1,A142CND4VJ9JWD,386PBUZZXGGZATQUYIOT9OUHC2KLJN,0.07,41,20,"[35, 40, 39]",1000.0,2204.623,1000.0,0.1889699918897,0,,2018-06-20 09:16:31.563121+00:00,19,0.07,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
42,5jbuyaef,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:16:17.839646+00:00,1,A2IQPCAZH3Z2YH,3TXMY6UCAF7NTC01GVF336GGWOYQC3,0.13,42,21,"[40, 39, 41]",1100.0,1100.0,498.951521416587,0.595335343538859,1,,2018-06-20 09:16:35.733361+00:00,37,0.13,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
43,vhy7sv54,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:16:17.995110+00:00,1,AMYURTQIMAC8T,3II4UPYCOKQXY46FGRAENCYYHOAQD3,0.27,43,21,"[39, 41, 42]",0.0,,,,0,,2018-06-20 09:16:36.392465+00:00,81,0.27,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
44,miuf9733,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:16:52.336126+00:00,1,AKU8W6XB2OWVZ,3RU7GD8VPPCI0HOID4QEI6UODVYSP8,1.36,44,22,"[39, 41, 42]",1230.0,2711.68629,1230.0,0.0024330900243309,0,,2018-06-20 09:17:13.365871+00:00,107,0.36,1.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
45,45qpedp0,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:17:16.824315+00:00,1,ACAD54DT9FU7U,3RUIQRXJBC755JEU1306P379GRPLLP,0.37,45,22,"[41, 42, 44]",0.0,,,,0,,2018-06-20 09:18:05.882895+00:00,110,0.37,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
46,n4tmo7pa,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:19:31.652631+00:00,1,A13ODGEOEI0FCS,317HQ483I8BT3I99SDJ8AFJ64IVINA,0.24,46,23,"[41, 42, 44]",2204.6,2204.6,999.989567377279,0.18897845305979,1,,2018-06-20 09:19:45.106456+00:00,73,0.24,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
47,y4rrm3gj,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:20:53.125180+00:00,1,A1V2DVUZE431GV,3DUZQ9U6SN7V51LEZGZDOYJ6ZJZSVT,0.00,47,23,"[42, 44, 46]",0.0,,,,0,,2018-06-20 09:22:38.398602+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
48,xs5jc0nb,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:23:37.232361+00:00,1,A191V8LNTTLHSA,3L4PIM1GQUZ08GG6P2MS5NI4VYIYRK,0.00,48,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
49,yfm13mfz,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:24:46.206018+00:00,1,A3F7LBV636PIGR,3TUI152ZZC6369Q30YQJMAXPSR81QP,0.05,49,23,"[42, 44, 46]",0.0,,,,0,,2018-06-20 09:26:25.974457+00:00,14,0.05,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
50,vti0ip2l,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:25:18.993432+00:00,1,AOLLFRJYOTVO1,39RP059MEICDYSA3A2CRBDQT422BMV,0.00,50,23,"[42, 44, 46]",0.0,,,,0,,2018-06-20 09:25:39.674287+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
51,fgrdw2ge,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:29:55.240594+00:00,1,A33JXCASTTXV5J,345LHZDEDYBR85BZ4BO7K49BTWS3UO,1.00,51,24,"[42, 44, 46]",2717.7,2717.7,1232.72777250351,0.000220784668688451,1,,2018-06-20 09:30:39.403948+00:00,0,0.0,1.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
52,zguz6qhp,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:34:21.026722+00:00,1,A16HYTYJAVIDYN,3L4PIM1GQUZ08GG6P2MS5NI4VYIYRK,0.00,52,24,"[44, 46, 51]",0.0,,,,0,,2018-06-20 09:35:17.253613+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
53,2fm2pifi,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:38:16.636204+00:00,1,A3PXF930VZ25QB,3O6CYIULEEKOZ3DNEVZ9P1K8RPNUWM,0.00,53,24,"[44, 46, 51]",0.0,,,,0,,2018-06-20 09:38:44.561668+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
54,8b8hr31n,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:39:26.576454+00:00,1,ADC4VXNQJ9FEW,3Y5140Z9DYZT63LM8SW0E4O14XXIP7,0.00,54,24,"[44, 46, 51]",0.0,,,,0,,2018-06-20 09:39:55.369068+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
55,fmswo1dc,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:40:24.088487+00:00,1,A36UZHVNGAP6R6,3FE7TXL1LJ6AVU8ZJ2QXRT7UKXMQ2V,0.09,55,26,"[46, 51, 56]",2000.0,2000.0,907.184584393794,0.264246079161562,1,,2018-06-20 09:41:04.665031+00:00,25,0.09,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
56,b2af4zjz,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:40:57.074900+00:00,1,A2LFM01A16YPKG,39GAF6DQWSJVBHMKMXKTSXWX9JNV1D,1.00,56,25,"[44, 46, 51]",2680.2,2680.2,1215.71806154612,0.0140161706844091,1,,2018-06-20 09:41:03.189624+00:00,0,0.0,1.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
57,sskbnjyd,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:42:21.506065+00:00,1,AJQ4T7IRHIY3,3FUI0JHJPYH79BYGPRS6XVJBGJ933H,0.00,57,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
