participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.bonus,session.config.views,session.config.pay_per_min,session.config.wait_before_leave,session.config.selection_method,session.config.participation_fee,session.config.real_world_currency_per_point,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
11,czg0jxop,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 08:20:25.247634+00:00,1,A3QLRC0K1HG9E0,37UEWGM5HUR3IA53DDFJR07UPSIR1J,0.03,0.13,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,11,1,0,0.00,1,1,11,0,0,0.00,1,2,11,0,0,0.00,1,3,11,0,0,0.00,1,4,11,0,0,0.00,1,5,11,0,0,0.00,1,6,11,0,0,0.00,1,7,11,0,0,0.00,1,8,11,8,[],1000.0,1000.0,453.592292196897,0.632123039580781,1,,2018-07-17 08:21:00.306543+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,0,history
12,hvxuiaqi,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 08:33:05.660281+00:00,1,A2CCNSS33U3099,3C8HJ7UOP8D9GQDJGGSUXVXWWKXZMT,0.04,0.14,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,12,1,0,0.00,1,1,12,0,0,0.00,1,2,12,0,0,0.00,1,3,12,0,0,0.00,1,4,12,0,0,0.00,1,5,12,0,0,0.00,1,6,12,0,0,0.00,1,7,12,0,0,0.00,1,8,12,9,[],1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-17 08:33:21.516358+00:00,12,0.04,0.00,1,1,0,0,0.2,30,300,1,0,history
13,l92os8mv,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 08:42:07.334534+00:00,1,ATL2S6JPH6RR8,3ZSY5X72NYUOE2C4JFDU3WK2I3UOR5,1.04,1.14,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,13,1,0,0.00,1,1,13,0,0,0.00,1,2,13,0,0,0.00,1,3,13,0,0,0.00,1,4,13,0,0,0.00,1,5,13,0,0,0.00,1,6,13,0,0,0.00,1,7,13,0,0,0.00,1,8,13,10,[],2700.0,2700.0,1224.69918893162,0.00673220686810843,1,,2018-07-17 08:42:45.188167+00:00,11,0.04,1.00,1,1,0,0,0.2,30,300,1,0,history
14,d5v5vnnk,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 08:50:15.321426+00:00,1,A2XTJ5OGDI5640,3KJYX6QCMAU26Y2OCMQZWXSJ4FYJVB,0.02,0.12,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,14,1,0,0.00,1,1,14,0,0,0.00,1,2,14,0,0,0.00,1,3,14,0,0,0.00,1,4,14,0,0,0.00,1,5,14,0,0,0.00,1,6,14,0,0,0.00,1,7,14,0,0,0.00,1,8,14,11,[],410.0,410.0,185.972839800728,0.84917044622812,1,,2018-07-17 08:50:46.003729+00:00,4,0.02,0.00,1,1,0,0,0.2,30,300,1,0,history
15,nw0inf3r,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 08:54:08.755950+00:00,1,A3P7MHT0XKHRRA,3S0TNUHWKU1RS06JUXTE1LDYOX18DI,0.01,0.11,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,15,1,0,0.00,1,1,15,0,0,0.00,1,2,15,0,0,0.00,1,3,15,0,0,0.00,1,4,15,0,0,0.00,1,5,15,0,0,0.00,1,6,15,0,0,0.00,1,7,15,0,0,0.00,1,8,15,12,[],1742.0,3840.453266,1742.0,0.412814274128143,0,,2018-07-17 08:54:39.008133+00:00,3,0.01,0.00,1,1,0,0,0.2,30,300,1,0,history
16,kis7vhlt,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-17 08:55:02.656168+00:00,1,A3CX8QU3BPJST2,3S96KQ6I9NNAQKY7XV49SH9L2AMDTC,0.00,0.10,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,16,0,1,0.00,1,1,16,0,0,0.00,1,2,16,0,0,0.00,1,3,16,0,0,0.00,1,4,16,0,0,0.00,1,5,16,0,0,0.00,1,6,16,0,0,0.00,1,7,16,0,0,0.00,1,8,16,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,0,history
17,uj7j61xx,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 09:01:38.636003+00:00,1,A1IS9AN73XIVXN,3E13VNJ1NOEQPB2KNQLAD8632W4I1B,0.04,0.14,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,17,1,0,0.00,1,1,17,0,0,0.00,1,2,17,0,0,0.00,1,3,17,0,0,0.00,1,4,17,0,0,0.00,1,5,17,0,0,0.00,1,6,17,0,0,0.00,1,7,17,0,0,0.00,1,8,17,13,[],870.0,870.0,394.625294211301,0.679947044435279,1,,2018-07-17 09:02:07.076073+00:00,12,0.04,0.00,1,1,0,0,0.2,30,300,1,0,history
18,xrotlttx,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 09:05:05.749427+00:00,1,A2N9QCS90MDZ4C,373ERPL3YPR4RUHCFWZTX6QPHBERTX,0.02,0.12,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,18,1,0,0.00,1,1,18,0,0,0.00,1,2,18,0,0,0.00,1,3,18,0,0,0.00,1,4,18,0,0,0.00,1,5,18,0,0,0.00,1,6,18,0,0,0.00,1,7,18,0,0,0.00,1,8,18,14,[],1000.0,1000.0,453.592292196897,0.632123039580781,1,,2018-07-17 09:05:21.414606+00:00,5,0.02,0.00,1,1,0,0,0.2,30,300,1,0,history
19,ym5qpq8s,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-17 09:06:22.167522+00:00,1,A33NK9L34EJIG,3OS46CRSLGIQI3NHS3WANTNEI9H6VV,0.00,0.10,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,19,0,1,0.00,1,1,19,0,0,0.00,1,2,19,0,0,0.00,1,3,19,0,0,0.00,1,4,19,0,0,0.00,1,5,19,0,0,0.00,1,6,19,0,0,0.00,1,7,19,0,0,0.00,1,8,19,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,0,history
20,kxmf0pkr,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-17 09:42:15.344211+00:00,1,A25FLQSIB09JW2,31Z0PCVWULYU9BXX6I1NSPZPGZOT74,0.00,0.10,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,20,0,1,0.00,1,1,20,0,0,0.00,1,2,20,0,0,0.00,1,3,20,0,0,0.00,1,4,20,0,0,0.00,1,5,20,0,0,0.00,1,6,20,0,0,0.00,1,7,20,0,0,0.00,1,8,20,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,0,history
