participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.room_busy,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,rtbc4gik,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-19 13:54:19.083594+00:00,1,A1T8LD3TVSP41G,3U84XHCDIDWTC0ODACSYB1GW9AIZ41,0.00,1,0,,,,,,,,,,,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
2,6lxv5cjc,,0,20,19,ox,1,Results,172.16.176.137,2018-06-19 13:54:24.820854+00:00,1,A10EF4V8OTA9XX,3QY5DC2MXS3MOHRSO6P9LDY8WICUFV,0.12,2,0,,,,,,,1,2018-06-19 13:55:01.081340+00:00,34,0.12,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
3,imeu96on,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-19 13:54:27.402692+00:00,1,A3RFHN13MRS8LA,3YDGXNSEO0DES4NQ1MSLYHJSA1C482,0.00,3,0,,,,,,,,,,,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
4,v04kbkdf,,0,20,19,ox,1,Results,172.16.176.137,2018-06-19 13:54:28.861125+00:00,1,A5H7DAMCUM9WF,3DZQRBDBSMYBTSJVF6T753RN8VMS34,0.00,4,1,[],565.0,565.0,256.279645091247,0.792149517363141,1,,2018-06-19 13:54:45.866206+00:00,0,0.0,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
5,5rt45ybc,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-19 13:54:30.188433+00:00,1,A1ENE99INLYD1G,3XLBSAQ9Z5VQVN6WCAQ5ED060C8Z7L,0.00,5,0,,,,,,,,,,,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
6,ideurgoe,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-19 13:54:31.441750+00:00,1,A39ROW50DWRRKT,3M23Y66PO3QAQB6DY8R5C637IMP6SP,0.00,6,0,,,,,,,,,,,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
7,zx2jc3a8,,0,20,19,ox,1,Results,172.16.176.137,2018-06-19 13:54:33.183944+00:00,1,A29CPTGC7FNLTB,3Z7ISHFUH1EUV1BFMFIBSDW1BWEZ88,1.00,7,0,,,,,,,1,2018-06-19 13:55:34.172029+00:00,302,1.0,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
8,ixlgavcb,,0,20,19,ox,1,Results,172.16.176.137,2018-06-19 13:54:37.038502+00:00,1,A23AP978617EJS,3FIJLY1B6VN9WCJW7KQFB7B9O1KPFU,0.04,8,1,[4],0.0,,,,0,,2018-06-19 13:54:51.695224+00:00,12,0.04,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
9,blkn4whj,,0,20,19,ox,1,Results,172.16.176.137,2018-06-19 13:54:39.355027+00:00,1,A3C8OZXJEA3AKC,3U84XHCDIDWTC0ODACSYB1GW9AIZ41,0.12,9,0,,,,,,,1,2018-06-19 13:54:56.594744+00:00,36,0.12,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
10,bxsycrfx,,0,20,19,ox,1,Results,172.16.176.137,2018-06-19 13:54:44.229175+00:00,1,A4XB9OF4LFHWF,3KKG4CDWKJHE69606EYZYDE3U7U49R,0.16,10,0,,,,,,,1,2018-06-19 13:54:54.085783+00:00,49,0.16,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
11,5fn8cq70,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-19 13:54:45.444850+00:00,1,A2XQ3CFB5HT2ZQ,3IXQG4FA2UHYR8R9LT8M6RK94ZB9B2,0.00,11,0,,,,,,,,,,,0.00,1,1,1,0.2,30,300,1,3,history,j0ssl2ul,,,31ODACBENUY1E9R3NF01USOBNO6SQ7,3XIFEF0YTS88I6YF6TE764NZI4MTWA,,0
