participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.company_history,player.drawn_items_history,player.decision_history,player.results_calculated,player.drawn_item,player.rand_val,player.choice_of_steps,player.choice_of_trade,player.choice_of_number_of_shares,player.price_at_start_of_round,player.price_at_end_of_round,player.price_change,player.payoff,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,n7v08ev1,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.166877+00:00,1,,,4458.88,16,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, false, false]]","[false, true, true, true, true, false]","[false, false, false, false, false, true]",1,0,,3,0,30,145.01,140.8960663,-4.1139337,123.42,123.42,1,1,1kmdkvep,,,,,,0
2,03h6p7k2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.282588+00:00,1,,,5261.80,5,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [false, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,3,1,100,85.17,89.0946336,3.9246336,392.46,392.46,1,1,1kmdkvep,,,,,,0
3,s74rgywl,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.252454+00:00,1,,,11688.51,11,"[[true, true, true], [true, true, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, true, false, false, true]","[true, true, true, true, true, false]",1,1,,2,1,75,131.99,135.3399062,3.3499062,251.24,251.24,1,1,1kmdkvep,,,,,,0
4,psxiv44l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.333471+00:00,1,,,7693.13,3,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[true, true, true, false, true, true]","[true, true, true, true, true, true]",1,1,,6,1,20,110.4,115.547952,5.147952,102.96,102.96,1,1,1kmdkvep,,,,,,0
5,liz3as6s,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.367539+00:00,1,,,5359.82,2,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [false, true, false], [false, true, false]]","[true, true, true, true, false, false]","[true, true, true, true, true, true]",1,1,,2,1,60,65.51,68.1343306,2.6243306,157.46,157.46,1,1,1kmdkvep,,,,,,0
6,o1h7oliv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.421197+00:00,1,,,7220.66,8,"[[false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,2,0,10,138.95,132.7486615,-6.2013385,62.01,62.01,1,1,1kmdkvep,,,,,,0
7,pgf2ji7r,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.504222+00:00,1,,,8437.37,10,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,5,1,50,69.4,72.754102,3.354102,167.71,167.71,1,1,1kmdkvep,,,,,,0
8,kdnrkjag,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.565427+00:00,1,,,10020.91,12,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[false, true, true, false, true, true]","[false, false, false, true, false, false]",1,0,,3,0,10,90.48,87.9167016,-2.5632984,25.63,25.63,1,1,1kmdkvep,,,,,,0
9,kmb6x265,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.575057+00:00,1,,,9818.80,23,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [true, true, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,6,0,1,136.18,129.616124,-6.563876,6.56,6.56,1,1,1kmdkvep,,,,,,0
10,3e5jndoo,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.642931+00:00,1,,,6548.22,21,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[false, false, true, false, false, true]","[false, false, false, false, false, false]",1,0,,7,0,50,112.86,107.9009316,-4.9590684,247.95,247.95,1,1,1kmdkvep,,,,,,0
11,24kwwpa2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.743894+00:00,1,,,6996.93,1,"[[true, false, true], [true, false, true], [true, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, true, true, true, false, true]","[true, true, true, true, true, true]",1,1,,3,1,10,141.07,147.5860233,6.5160233,65.16,65.16,1,1,1kmdkvep,,,,,,0
12,hpw3ngxf,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.717830+00:00,1,,,6379.86,19,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,7,0,10,121.6,116.575488,-5.024512,50.25,50.25,1,1,1kmdkvep,,,,,,0
13,q0taiwwg,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.912203+00:00,1,,,8695.58,7,"[[true, true, true], [true, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, true, true, false, true, false]","[true, true, true, true, true, true]",1,1,,5,1,5,113.03,117.9976685,4.9676685,24.84,24.84,1,1,1kmdkvep,,,,,,0
14,e2nca5u8,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.146234+00:00,1,,,6020.58,14,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,6,1,15,80.79,85.0670226,4.2770226,64.16,64.16,1,1,1kmdkvep,,,,,,0
15,csalb3iq,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.011393+00:00,1,,,5686.23,6,"[[true, false, false], [true, false, true], [true, false, true], [true, false, true], [false, false, true], [false, false, true]]","[false, true, false, true, true, false]","[false, false, false, false, false, false]",1,0,,3,0,5,106.93,101.6572817,-5.2727183,26.36,26.36,1,1,1kmdkvep,,,,,,0
16,i13yipgv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.088181+00:00,1,,,7801.87,17,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,6,0,100,81.32,77.3214956,-3.9985044,399.85,399.85,1,1,1kmdkvep,,,,,,0
17,1thfefg4,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.345903+00:00,1,,,5316.05,22,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,10,1,25,137.91,143.6429187,5.7329187,143.32,143.32,1,1,1kmdkvep,,,,,,0
18,qxbv12yy,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.308701+00:00,1,,,3227.03,4,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, true]]","[true, true, false, false, true, true]","[true, true, true, true, true, true]",1,1,,3,1,25,122.87,128.9238049,6.0538049,151.35,151.35,1,1,1kmdkvep,,,,,,0
19,clpwqai9,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.576332+00:00,1,,,7152.23,18,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, false], [true, false, false]]","[false, false, true, true, false, true]","[false, false, false, false, false, false]",1,0,,5,0,50,98.87,94.22311,-4.64689,232.34,232.34,1,1,1kmdkvep,,,,,,0
20,0evsw7pn,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.338968+00:00,1,,,8026.68,15,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, false, true, true, true, true]","[true, true, true, true, true, true]",1,1,,4,1,120,82.73,86.2840808,3.5540808,426.49,426.49,1,1,1kmdkvep,,,,,,0
21,ib1s3w5l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.448985+00:00,1,,,3087.51,13,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,8,0,5,118.66,113.3119938,-5.3480062,26.74,26.74,1,1,1kmdkvep,,,,,,0
22,pu8iu4ks,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.870101+00:00,1,,,5837.84,20,"[[false, false, false], [false, false, false], [false, false, false], [true, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,4,0,21,126.2,121.179764,-5.020236,105.42,105.42,1,1,1kmdkvep,,,,,,0
23,i0bsf6ef,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:19.983968+00:00,1,,,6652.85,9,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, true]","[false, false, false, false, false, false]",1,0,,4,0,50,142.82,136.278844,-6.541156,327.06,327.06,1,1,1kmdkvep,,,,,,0
1,n7v08ev1,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.166877+00:00,1,,,4458.88,4,"[[true, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, false, true]]","[true, false, true, false, false, true]","[true, true, false, true, true, false]",1,1,,3,1,20,128.9238049,130.880868258382,1.957063358382,39.14,39.14,1,2,1kmdkvep,,,,,,0
2,03h6p7k2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.282588+00:00,1,,,5261.80,19,"[[false, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false]]","[false, true, false, false, false, false]","[true, false, true, false, false, false]",1,0,,7,1,30,116.575488,114.64966093824,-1.92582706176,-57.77,-57.77,1,2,1kmdkvep,,,,,,0
3,s74rgywl,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.252454+00:00,1,,,11688.51,17,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, true]","[false, false, false, false, false, false]",1,0,,6,0,132,77.3214956,73.767026447268,-3.554469152732,469.19,469.19,1,2,1kmdkvep,,,,,,0
4,psxiv44l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.333471+00:00,1,,,7693.13,8,"[[false, false, true], [false, false, true], [false, false, true], [false, false, true], [true, false, true], [true, false, true]]","[true, true, true, false, true, true]","[false, false, false, false, false, true]",1,1,,2,0,13,132.7486615,128.49804935877,-4.25061214123,55.26,55.26,1,2,1kmdkvep,,,,,,0
5,liz3as6s,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.367539+00:00,1,,,5359.82,16,"[[true, false, false], [true, false, false], [true, false, false], [true, false, false], [false, false, false], [false, false, false]]","[false, true, false, true, false, false]","[false, false, true, false, true, false]",1,0,,3,0,30,140.8960663,139.188405976444,-1.707660323556,51.23,51.23,1,2,1kmdkvep,,,,,,0
6,o1h7oliv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.421197+00:00,1,,,7220.66,7,"[[false, true, true], [false, true, true], [false, true, true], [false, false, true], [false, false, false], [false, false, false]]","[true, false, false, false, false, false]","[true, true, false, false, false, false]",1,1,,5,1,50,117.9976685,115.561016645475,-2.436651854525,-121.83,-121.83,1,2,1kmdkvep,,,,,,0
7,pgf2ji7r,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.504222+00:00,1,,,8437.37,3,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[false, true, false, true, true, false]","[true, true, true, true, true, true]",1,0,,6,1,50,115.547952,120.79729545936,5.24934345936,262.47,262.47,1,2,1kmdkvep,,,,,,0
8,kdnrkjag,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.565427+00:00,1,,,10020.91,15,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[false, true, false, false, false, true]","[true, false, true, true, false, false]",1,0,,4,1,20,86.2840808,85.761199270352,-0.522881529648,-10.46,-10.46,1,2,1kmdkvep,,,,,,0
9,kmb6x265,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.575057+00:00,1,,,9818.80,9,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, false, true, false, false, true]","[false, false, false, false, false, false]",1,1,,4,0,40,136.278844,130.46246293808,-5.81638106192,232.66,232.66,1,2,1kmdkvep,,,,,,0
