participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.guess,player.confirm,player.guess_percent_diff,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,subsession.true_number_of_dots,subsession.image_path,subsession.worker_running,subsession.last_worker_activity,subsession.number_of_people_going_to_wait,subsession.last_prewait_check,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,hh6f4lzd,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:59.180421+00:00,1,A1OGJ58N1MZVS6,3SLE99ER0OWDXZ9MPR2LJFM3M69ZBU,0.58,11,7,"[1, 3, 15]",325,1,0.193548387096774,,2018-08-12 11:35:27.908263+00:00,173,0.58,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
12,9w8441b9,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:59.760832+00:00,1,A2IPO6UJZDIQ91,3GD6L00D3TGCLUSB85J251DLLQ11MX,1.79,12,9,"[1, 3, 15]",400,1,0.00744416873449132,,2018-08-12 11:36:11.209449+00:00,237,0.79,1.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
13,l8ftqolb,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:00.739829+00:00,1,A2AQMAORZ7M0EN,38JBBYETQPTV15XHEPELQRFFO8K4EO,0.00,13,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
14,pj5j9ic1,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:04.944831+00:00,1,A1FYWSPNO7KN1O,3HMIGG0U4MPUQB1AQTGSE6N086L8YE,0.00,14,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
15,84gixu55,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:35:05.716848+00:00,1,A6E9MF642WUOE,3QFUFYSY9ZYN7JXD90YR890F09Z4F6,1.41,15,6,"[1, 3, 5]",365,1,0.0942928039702233,,2018-08-12 11:35:27.910132+00:00,124,0.41,1.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
16,cmhfzvme,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:06.802570+00:00,1,A26FIQ42LD6QIO,3QIYRE09Y40I3CDBK6Y2IG2LQGB1NX,0.00,16,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
17,mxc1wo41,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:35:15.844502+00:00,1,A1SNC8UL8YFRH5,3AQF3RZ55911M61RSOR657KTW056FT,0.80,17,11,"[1, 3, 12]",2000,1,3.96277915632754,,2018-08-12 11:37:40.951009+00:00,240,0.8,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
18,nfoftj4c,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:35:17.646943+00:00,1,A2VSXCQQOAWC18,3OVHNO1VE7K6CW763NTRE5A3PRLZD1,0.65,18,8,"[1, 3, 15]",180,1,0.553349875930521,,2018-08-12 11:35:51.293401+00:00,194,0.65,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
19,xyfnwpax,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:24.700334+00:00,1,A1QVOBBLEV4ONC,37TRT2X24RANXK4I75ZZVLYD38XBJM,0.00,19,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
20,q5yjre5w,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:25.529677+00:00,1,A2I4VNAS21FXCE,3QY5DC2MXS3MOHRSO6P9LDY9ZMMUFI,0.00,20,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
