,group,round,id_in_group,split,high,guess,win,turker,strategy
0,1,1,1,1,0,69.0,1,A1CNEUGI7LWLR7,
1,1,1,2,1,0,70.0,0,A2MT0GKZ7UJ1LF,
2,1,2,1,1,0,70.0,0,A1CNEUGI7LWLR7,
3,1,2,2,1,0,50.0,1,A2MT0GKZ7UJ1LF,
4,1,3,1,1,0,70.0,0,A1CNEUGI7LWLR7,
5,1,3,2,1,0,25.0,1,A2MT0GKZ7UJ1LF,
6,1,4,1,1,0,30.0,1,A1CNEUGI7LWLR7,
7,1,4,2,1,0,60.0,0,A2MT0GKZ7UJ1LF,
8,1,5,1,1,0,60.0,0,A1CNEUGI7LWLR7,
9,1,5,2,1,0,50.0,1,A2MT0GKZ7UJ1LF,
10,1,6,1,1,0,50.0,0,A1CNEUGI7LWLR7,
11,1,6,2,1,0,25.0,1,A2MT0GKZ7UJ1LF,
12,1,7,1,1,0,60.0,1,A1CNEUGI7LWLR7,
13,1,7,2,1,0,70.0,0,A2MT0GKZ7UJ1LF,
14,1,8,1,1,0,60.0,1,A1CNEUGI7LWLR7,I was focusing the other player output.
15,1,8,2,1,0,60.0,1,A2MT0GKZ7UJ1LF,"I started with a pretty high number, than a medium number than a low number. I assumed the numbers were not random, so it seemed like they would move like I did. Since it seemed to work I kept doing it that way."
16,2,1,1,1,0,9.0,1,A3GR0UNFSH9MR7,
17,2,1,2,1,0,50.0,0,A37CO0N1KC1CDW,
18,2,2,1,1,0,29.0,1,A3GR0UNFSH9MR7,
19,2,2,2,1,0,60.0,0,A37CO0N1KC1CDW,
20,2,3,1,1,0,37.0,1,A3GR0UNFSH9MR7,
21,2,3,2,1,0,40.0,0,A37CO0N1KC1CDW,
22,2,4,1,1,0,39.0,1,A3GR0UNFSH9MR7,
23,2,4,2,1,0,60.0,0,A37CO0N1KC1CDW,
24,2,5,1,1,0,74.0,0,A3GR0UNFSH9MR7,
25,2,5,2,1,0,20.0,1,A37CO0N1KC1CDW,
26,2,6,1,1,0,39.0,1,A3GR0UNFSH9MR7,
27,2,6,2,1,0,80.0,0,A37CO0N1KC1CDW,
28,2,7,1,1,0,62.0,0,A3GR0UNFSH9MR7,
29,2,7,2,1,0,40.0,1,A37CO0N1KC1CDW,
30,2,8,1,1,0,44.0,1,A3GR0UNFSH9MR7,picking favorite numbers
31,2,8,2,1,0,60.0,0,A37CO0N1KC1CDW,went higher
32,3,1,1,1,0,69.0,1,A2OAZPREKF6PQR,
33,3,1,2,1,0,90.0,0,A2V8B6ISKK4N9P,
34,3,2,1,1,0,70.0,1,A2OAZPREKF6PQR,
35,3,2,2,1,0,100.0,0,A2V8B6ISKK4N9P,
36,3,3,1,1,0,100.0,1,A2OAZPREKF6PQR,
37,3,3,2,1,0,100.0,1,A2V8B6ISKK4N9P,
38,3,4,1,1,0,100.0,1,A2OAZPREKF6PQR,
39,3,4,2,1,0,100.0,1,A2V8B6ISKK4N9P,
40,3,5,1,1,0,100.0,1,A2OAZPREKF6PQR,
41,3,5,2,1,0,100.0,1,A2V8B6ISKK4N9P,
42,3,6,1,1,0,100.0,1,A2OAZPREKF6PQR,
43,3,6,2,1,0,100.0,1,A2V8B6ISKK4N9P,
44,3,7,1,1,0,100.0,1,A2OAZPREKF6PQR,
45,3,7,2,1,0,100.0,1,A2V8B6ISKK4N9P,
46,3,8,1,1,0,100.0,1,A2OAZPREKF6PQR,it was just sinking with the player.
47,3,8,2,1,0,100.0,1,A2V8B6ISKK4N9P,after two rounds we matched so i felt we can continue same till the end
48,4,1,1,1,0,57.0,1,A13H6YZM0D6VJX,
49,4,1,2,1,0,60.0,0,A1KOMHV7RQBUN6,
50,4,2,1,1,0,45.0,0,A13H6YZM0D6VJX,
51,4,2,2,1,0,40.0,1,A1KOMHV7RQBUN6,
52,4,3,1,1,0,27.0,1,A13H6YZM0D6VJX,
53,4,3,2,1,0,35.0,0,A1KOMHV7RQBUN6,
54,4,4,1,1,0,23.0,1,A13H6YZM0D6VJX,
55,4,4,2,1,0,47.0,0,A1KOMHV7RQBUN6,
56,4,5,1,1,0,33.0,0,A13H6YZM0D6VJX,
57,4,5,2,1,0,25.0,1,A1KOMHV7RQBUN6,
58,4,6,1,1,0,19.0,1,A13H6YZM0D6VJX,
59,4,6,2,1,0,30.0,0,A1KOMHV7RQBUN6,
60,4,7,1,1,0,20.0,1,A13H6YZM0D6VJX,
61,4,7,2,1,0,20.0,1,A1KOMHV7RQBUN6,
62,4,8,1,1,0,25.0,0,A13H6YZM0D6VJX,I was using the strategy of Permutation and combination
63,4,8,2,1,0,22.0,1,A1KOMHV7RQBUN6,Stayed close to 20 towards the end after averaging outcomes.
64,5,1,1,1,0,99.0,0,A27QUVSOUJZD8J,
65,5,1,2,1,0,50.0,1,AJMWTFJTL8RLM,
66,5,2,1,1,0,60.0,1,A27QUVSOUJZD8J,
67,5,2,2,1,0,60.0,1,AJMWTFJTL8RLM,
