size,group,round,id_in_group,split,high,guess,win,turker,strategy
GoR_2,32,6,2,0,1,100.0,0,A1S1K7134S2VUC,
GoR_2,32,7,1,0,1,25.0,1,A22Z2G4QSIZVVB,
GoR_2,32,7,2,0,1,100.0,0,A1S1K7134S2VUC,
GoR_2,32,8,1,0,1,25.0,1,A22Z2G4QSIZVVB,Aiming for a low number
GoR_2,32,8,2,0,1,100.0,0,A1S1K7134S2VUC,"I assumed that both players picking 100 would result in max payout.   Seems like the best strategy is to pick any value lower than the other player, a race to the bottom."
GoR_2,33,1,1,0,1,100.0,0,AUXFTGFNKHP4Z,
GoR_2,33,1,2,0,1,27.0,1,A3BOY7SUI425MK,
GoR_2,33,2,1,0,1,100.0,0,AUXFTGFNKHP4Z,
GoR_2,33,2,2,0,1,50.0,1,A3BOY7SUI425MK,
GoR_2,33,3,1,0,1,65.0,1,AUXFTGFNKHP4Z,
GoR_2,33,3,2,0,1,100.0,0,A3BOY7SUI425MK,
GoR_2,33,4,1,0,1,100.0,0,AUXFTGFNKHP4Z,
GoR_2,33,4,2,0,1,30.0,1,A3BOY7SUI425MK,
GoR_2,33,5,1,0,1,65.0,0,AUXFTGFNKHP4Z,
GoR_2,33,5,2,0,1,25.0,1,A3BOY7SUI425MK,
GoR_2,33,6,1,0,1,45.0,0,AUXFTGFNKHP4Z,
GoR_2,33,6,2,0,1,10.0,1,A3BOY7SUI425MK,
GoR_2,33,7,1,0,1,30.0,1,AUXFTGFNKHP4Z,
GoR_2,33,7,2,0,1,40.0,0,A3BOY7SUI425MK,
GoR_2,33,8,1,0,1,25.0,1,AUXFTGFNKHP4Z,"I tried to pick 100 every time, so both me and my team mate would win $1.00, but when they kept picking lower numbers, I switched to picking a slightly lower number each time. "
GoR_2,33,8,2,0,1,30.0,0,A3BOY7SUI425MK,low numbers
GoR_2,34,1,1,0,1,100.0,0,A3QH4NEUUO81CX,
GoR_2,34,1,2,0,1,45.0,1,ANINMMEAWLK7B,
GoR_2,34,2,1,0,1,52.0,0,A3QH4NEUUO81CX,
GoR_2,34,2,2,0,1,24.0,1,ANINMMEAWLK7B,
GoR_2,34,3,1,0,1,67.0,0,A3QH4NEUUO81CX,
GoR_2,34,3,2,0,1,30.0,1,ANINMMEAWLK7B,
GoR_2,34,4,1,0,1,20.0,1,A3QH4NEUUO81CX,
GoR_2,34,4,2,0,1,35.0,0,ANINMMEAWLK7B,
GoR_2,34,5,1,0,1,32.0,0,A3QH4NEUUO81CX,
GoR_2,34,5,2,0,1,20.0,1,ANINMMEAWLK7B,
GoR_2,34,6,1,0,1,32.0,0,A3QH4NEUUO81CX,
GoR_2,34,6,2,0,1,20.0,1,ANINMMEAWLK7B,
GoR_2,34,7,1,0,1,20.0,1,A3QH4NEUUO81CX,
GoR_2,34,7,2,0,1,20.0,1,ANINMMEAWLK7B,
GoR_2,34,8,1,0,1,20.0,0,A3QH4NEUUO81CX,it was pretty random for me as the guesses went lower i went lower on my number.
GoR_2,34,8,2,0,1,19.0,1,ANINMMEAWLK7B,"Since it's 2/3, I realized that I should pick a number below 66. I picked relatively lower number each round realizing that the other player's guess would go down as well.   "
GoR_2,37,1,1,0,1,40.0,1,A3BPTARPGHYU1N,
GoR_2,37,1,2,0,1,72.0,0,A21UH7SXDBWWUM,
GoR_2,37,2,1,0,1,35.0,1,A3BPTARPGHYU1N,
GoR_2,37,2,2,0,1,72.0,0,A21UH7SXDBWWUM,
GoR_2,37,3,1,0,1,50.0,0,A3BPTARPGHYU1N,
GoR_2,37,3,2,0,1,41.0,1,A21UH7SXDBWWUM,
GoR_2,37,4,1,0,1,35.0,1,A3BPTARPGHYU1N,
GoR_2,37,4,2,0,1,48.0,0,A21UH7SXDBWWUM,
GoR_2,37,5,1,0,1,37.0,0,A3BPTARPGHYU1N,
GoR_2,37,5,2,0,1,20.0,1,A21UH7SXDBWWUM,
GoR_2,37,6,1,0,1,40.0,0,A3BPTARPGHYU1N,
GoR_2,37,6,2,0,1,25.0,1,A21UH7SXDBWWUM,
GoR_2,37,7,1,0,1,25.0,1,A3BPTARPGHYU1N,
GoR_2,37,7,2,0,1,30.0,0,A21UH7SXDBWWUM,
GoR_2,37,8,1,0,1,30.0,0,A3BPTARPGHYU1N,"I wanted to guess as high as possible, while still going lower than my partner."
GoR_2,37,8,2,0,1,27.0,1,A21UH7SXDBWWUM,"First I guessed high because if we both did that, we would both earn more money. That didn't work the first time. I tried it again and it still didn't work. I figured that the person was probably going to go higher since I was high for the first two rounds and I decided to undercut him (or her) so I won. Wasn't sure what would happen next, so I went up to meet him (or her) because I thought if we could land on the same number, maybe we'd both get paid, but I lost. I didn't think he would think that I would go down so drastically, so I did just that. But I knew I also wasn't getting a high amount of money. I went a little higher to see if I could still win, but I could see that the bonus amounts were getting progressively lower. I probably should have just kept going down, but that seemed a little defeatest. And then for the last one, I picked a low number that was also my favorite number. "
GoR_2,38,1,1,0,0,50.0,1,A2MFQNP0S6K0BB,
GoR_2,38,1,2,0,0,50.0,1,A269MCW9TB4WTQ,
GoR_2,38,2,1,0,0,50.0,1,A2MFQNP0S6K0BB,
GoR_2,38,2,2,0,0,60.0,0,A269MCW9TB4WTQ,
GoR_2,38,3,1,0,0,40.0,1,A2MFQNP0S6K0BB,
GoR_2,38,3,2,0,0,45.0,0,A269MCW9TB4WTQ,
GoR_2,38,4,1,0,0,25.0,1,A2MFQNP0S6K0BB,
GoR_2,38,4,2,0,0,50.0,0,A269MCW9TB4WTQ,
GoR_2,38,5,1,0,0,30.0,0,A2MFQNP0S6K0BB,
GoR_2,38,5,2,0,0,15.0,1,A269MCW9TB4WTQ,
GoR_2,38,6,1,0,0,15.0,0,A2MFQNP0S6K0BB,
GoR_2,38,6,2,0,0,5.0,1,A269MCW9TB4WTQ,
GoR_2,38,7,1,0,0,10.0,0,A2MFQNP0S6K0BB,
GoR_2,38,7,2,0,0,1.0,1,A269MCW9TB4WTQ,
GoR_2,38,8,1,0,0,1.0,1,A2MFQNP0S6K0BB,"as the rounds progressed, I tried to win more than trying to maximize the bonus. "
GoR_2,38,8,2,0,0,90.0,0,A269MCW9TB4WTQ,Calculating the 2/3s from the previous number.
